rank	gene	score	hit	disease_area	druggability	mr_z
1	KCNQ1	16.4869		metabolic	0.9	8.0
2	PLG	13.2739		cardiovascular	0.9	5.75
3	MTNR1B	13.0697		metabolic	0.9	7.19
4	FTO	12.47		metabolic	0.7	8.0
5	CRHR1	11.5465		neurological	0.7	6.5
6	APOE	11.1033		neurological	0.35	8.0
7	LRRK2	10.558		neurological	0.35	8.0
8	SNCA	10.455		neurological	0.35	8.0
9	BIN1	10.2332		neurological	0.35	8.0
10	MAPT	9.6907		neurological	0.35	7.5
11	APOC2	9.5328		neurological	0.35	7.0
12	PTGER4	9.4359		immune	0.9	5.25
13	KANSL1	9.3671		neurological	0.35	6.25
14	FLT1	9.0614		cardiovascular	0.9	4.53
15	ADAR	8.9622		neurological	0.35	5.25
16	NR	8.9478		neurological	0.35	8.0
17	ALDH2	8.315		cardiovascular	0.9	3.88
18	CEACAM16	8.1426		neurological	0.35	6.5
19	IL6R	8.1307		neurological	0.35	5.25
20	CDKN2A	8.1225		metabolic	0.35	8.0
21	RELB	8.0777		neurological	0.35	7.0
22	EXOC3L2	7.8054		neurological	0.35	6.5
23	APOC1	7.7767		neurological	0.35	8.0
24	CCND2	7.7438		metabolic	0.35	7.75
25	LPA	7.7314		cardiovascular	0.35	8.0
26	TMEM175	7.6928		neurological	0.35	6.5
27	BCL3	7.688		neurological	0.35	8.0
28	TCF7L2	7.6849		metabolic	0.35	8.0
29	PHACTR1	7.5815		cardiovascular	0.35	8.0
30	MARK4	7.4498		neurological	0.35	7.0
31	MCCC1	7.4341		neurological	0.35	4.93
32	SLC30A8	7.4036		metabolic	0.35	8.0
33	LDLR	7.3728		cardiovascular	0.35	6.45
34	TOMM40	7.0934		neurological	0.35	8.0
35	CDKAL1	7.0809		metabolic	0.35	8.0
36	NSF	7.0695		neurological	0.35	5.5
37	GEMIN7	6.9828		neurological	0.35	6.25
38	PAX4	6.9806		metabolic	0.35	7.75
39	IGSF23	6.9372		neurological	0.35	6.75
40	PVRL2	6.7656		neurological	0.35	8.0
41	ARHGAP27	6.7159		neurological	0.35	5.25
42	BCAM	6.6444		neurological	0.35	8.0
43	IGF2BP2	6.6095		metabolic	0.35	8.0
44	DYNC2H1	6.6003		cardiovascular	0.35	5.09
45	CDKN2B	6.5802		metabolic	0.35	8.0
46	CBLC	6.5171		neurological	0.35	6.75
47	CLPTM1	6.4215		neurological	0.35	7.75
48	JAZF1	6.4138		metabolic	0.35	8.0
49	INTERGENIC	6.3818		cardiovascular	0.35	8.0
50	HHEX	6.3815		metabolic	0.35	8.0
51	DGKQ	6.326		neurological	0.35	6.0
52	SLC22A5	6.3169		immune	0.35	5.5
53	PVR	6.2839		neurological	0.35	6.75
54	PPP1R37	6.1678		neurological	0.35	6.5
55	APOC1P1	6.13		neurological	0.35	7.25
56	INPP5E	6.1238		immune	0.35	5.5
57	CELSR2	6.1105		cardiovascular	0.35	6.25
58	CDC123	6.0951		metabolic	0.35	8.0
59	APOC4	5.9842		neurological	0.35	7.0
60	MIA3	5.9581		cardiovascular	0.35	7.09
61	LEP	5.9226		metabolic	0.35	5.5
62	SLC22A3	5.9081		cardiovascular	0.35	6.57
63	MST1R	5.8934		immune	0.5	4.94
64	CLASRP	5.8384		neurological	0.35	6.75
65	SLC35D1	5.8179		immune	0.35	5.25
66	GAK	5.792		neurological	0.35	6.02
67	CARD9	5.7398		immune	0.35	5.5
68	ADAMTS7	5.7019		cardiovascular	0.35	6.51
69	PSRC1	5.675		cardiovascular	0.35	6.5
70	PMPCA	5.6586		immune	0.35	5.5
71	SHE	5.6215		neurological	0.35	5.25
72	NKPD1	5.5469		neurological	0.35	6.25
73	IRS1	5.5347		metabolic	0.35	6.86
74	CKM	5.4808		neurological	0.35	5.5
75	IL13	5.4186		immune	0.35	5.25
76	TRAPPC6A	5.4011		neurological	0.35	6.0
77	CDKN2B-AS1	5.3746		cardiovascular	0.35	8.0
78	IL23R	5.3698		immune	0.35	5.75
79	SPPL2C	5.3647		neurological	0.35	5.25
80	GPRIN3	5.362		neurological	0.35	5.5
81	TDRD10	5.3456		neurological	0.35	5.25
82	STK39	5.3365		neurological	0.35	5.01
83	IDE	5.2415		metabolic	0.35	8.0
84	APOB	5.1896		cardiovascular	0.35	3.94
85	DUSP9	5.1619		metabolic	0.35	6.0
86	STH	5.1096		neurological	0.35	5.5
87	IRF1	5.0595		immune	0.35	5.5
88	UBE2Q1	5.0424		neurological	0.35	5.25
89	CAMK1D	5.0212		metabolic	0.35	6.75
90	SMARCA4	5.0133		cardiovascular	0.35	4.13
91	SND1	4.9902		metabolic	0.35	5.5
92	KRTCAP2	4.9639		neurological	0.35	5.25
93	IL5	4.9248		immune	0.35	5.25
94	HNF1B	4.8066		metabolic	0.35	7.75
95	HIP1R	4.6261		neurological	0.35	4.07
96	LPAL2	4.5732		cardiovascular	0.35	6.82
97	NKX2-3	4.478		immune	0.35	5.5
98	ACAD10	4.3386		cardiovascular	0.35	5.5
99	IL12RB2	4.2739		immune	0.35	5.5
100	SERBP1	4.2622		immune	0.35	5.25
101	CSF2	4.252		immune	0.35	5.5
102	CDKN2BAS	4.1814		cardiovascular	0.35	6.0
103	C1ORF141	4.1568		immune	0.35	5.25
104	PDLIM4	4.0063		immune	0.35	5.5
105	SLC22A4	3.9886		immune	0.35	5.5
106	MORF4L1	3.9765		cardiovascular	0.35	4.99
107	FES	3.9676		cardiovascular	0.35	4.21
108	BST1	3.8781		neurological	0.35	3.6
109	9P21	3.7422		cardiovascular	0.35	5.25
110	SGIP1	3.7113		immune	0.35	5.25
111	XMHC	3.6931		psychiatric	0.35	4.59
112	GCC1	3.64		metabolic	0.35	5.75
113	B	3.64		metabolic	0.35	5.75
114	TCF2	3.64		metabolic	0.35	5.75
115	HLA-DQB1	3.64		metabolic	0.35	5.75
116	PTPN22	3.64		metabolic	0.35	5.75
117	CDKN2A/2B	3.64		metabolic	0.35	5.75
118	NUCKS1	3.583		neurological	0.35	3.77
119	SYT11	3.5487		neurological	0.35	3.19
120	IL4	3.4809		immune	0.35	5.25
121	ACSL6	3.4401		immune	0.35	5.5
122	ZKSCAN3	3.395		psychiatric	0.35	5.29
123	TARID	3.3121		cardiovascular	0.35	5.14
124	LOC105369980	3.2698		cardiovascular	0.35	4.87
125	MAP3K14	3.2648		neurological	0.35	2.74
126	IL3	3.2053		immune	0.35	5.5
127	SDCCAG3	3.2053		immune	0.35	5.5
128	ZSCAN23	3.1844		psychiatric	0.35	4.94
129	GBA	3.1786		neurological	0.35	4.66
130	MIER1	3.0859		immune	0.35	5.25
131	INSL5	3.0597		immune	0.35	5.25
132	TCTEX1D1	3.0597		immune	0.35	5.25
133	WDR78	3.0597		immune	0.35	5.25
134	CDKN2A/B	2.9695		cardiovascular	0.35	4.63
135	MAPT-AS1	2.9442		neurological	0.35	3.89
136	MIR4693	2.8708		cardiovascular	0.35	4.66
137	PFKFB4	2.8468		immune	0.35	5.17
